timestamp,directory,files_added,files_deleted,files_modified,size_added_gb,size_deleted_gb,size_modified_gb,total_files,current_space_gb
2024-10-01 00:00:00,/data,0,0,0,0,0,0,17826,437.39
2024-10-01 00:00:00,/scratch,0,0,0,0,0,0,19660,237.5
2024-10-01 00:00:00,/projects,25,14,32,13.531,0.305,3.523,14208,379.8
2024-10-01 00:00:00,/user,0,0,0,0,0,0,12360,300.48
2024-10-01 01:00:00,/data,0,0,0,0,0,0,17826,437.39
2024-10-01 01:00:00,/scratch,47,14,35,15.755,0.131,1.399,19693,254.52
2024-10-01 01:00:00,/projects,15,13,30,7.078,0.351,2.394,14210,388.92
2024-10-01 01:00:00,/user,0,0,0,0,0,0,12360,300.48
2024-10-01 02:00:00,/data,0,0,0,0,0,0,17826,437.39
2024-10-01 02:00:00,/scratch,0,0,0,0,0,0,19693,254.52
2024-10-01 02:00:00,/projects,0,0,0,0,0,0,14210,388.92
2024-10-01 02:00:00,/user,0,0,0,0,0,0,12360,300.48
2024-10-01 03:00:00,/data,0,0,0,0,0,0,17826,437.39
2024-10-01 03:00:00,/scratch,55,18,28,15.242,0.193,1.469,19730,271.04
2024-10-01 03:00:00,/projects,0,0,0,0,0,0,14210,388.92
2024-10-01 03:00:00,/user,0,0,0,0,0,0,12360,300.48
2024-10-01 04:00:00,/data,0,0,0,0,0,0,17826,437.39
2024-10-01 04:00:00,/scratch,0,0,0,0,0,0,19730,271.04
2024-10-01 04:00:00,/projects,0,0,0,0,0,0,14210,388.92
2024-10-01 04:00:00,/user,11,10,23,1.44,0.134,0.305,12361,302.09
2024-10-01 05:00:00,/data,32,13,21,25.639,0.333,4.174,17845,466.87
2024-10-01 05:00:00,/scratch,0,0,0,0,0,0,19730,271.04
2024-10-01 05:00:00,/projects,0,0,0,0,0,0,14210,388.92
2024-10-01 05:00:00,/user,55,27,44,7.465,0.516,0.813,12389,309.85
2024-10-01 06:00:00,/data,62,38,70,97.243,0.9,15.468,17869,578.68
2024-10-01 06:00:00,/scratch,38,15,25,13.469,0.146,1.686,19753,286.05
2024-10-01 06:00:00,/projects,41,17,67,21.852,0.424,7.131,14234,417.48
2024-10-01 06:00:00,/user,84,39,78,10.045,0.794,1.326,12434,320.43
2024-10-01 07:00:00,/data,0,0,0,0,0,0,17869,578.68
2024-10-01 07:00:00,/scratch,36,19,22,13.656,0.239,1.124,19770,300.59
2024-10-01 07:00:00,/projects,40,31,49,23.731,1.004,5.394,14243,445.6
2024-10-01 07:00:00,/user,0,0,0,0,0,0,12434,320.43
2024-10-01 08:00:00,/data,80,35,75,93.261,1.111,14.967,17914,685.8
2024-10-01 08:00:00,/scratch,50,22,31,14.843,0.272,1.399,19798,316.56
2024-10-01 08:00:00,/projects,0,0,0,0,0,0,14243,445.6
2024-10-01 08:00:00,/user,0,0,0,0,0,0,12434,320.43
2024-10-01 09:00:00,/data,84,37,80,106.908,1.396,14.734,17961,806.04
2024-10-01 09:00:00,/scratch,175,61,96,54.061,0.805,4.808,19912,374.63
2024-10-01 09:00:00,/projects,99,69,124,65.155,2.017,12.53,14273,521.27
2024-10-01 09:00:00,/user,184,84,193,19.401,2.013,3.431,12534,341.25
2024-10-01 10:00:00,/data,126,65,103,163.144,2.51,24.202,18022,990.88
2024-10-01 10:00:00,/scratch,239,93,151,64.482,1.666,7.414,20058,444.86
2024-10-01 10:00:00,/projects,88,53,117,43.24,1.657,11.317,14308,574.17
2024-10-01 10:00:00,/user,80,40,77,8.967,0.783,1.446,12574,350.88
2024-10-01 11:00:00,/data,0,0,0,0,0,0,18022,990.88
2024-10-01 11:00:00,/scratch,232,96,146,62.156,1.83,7.995,20194,513.18
2024-10-01 11:00:00,/projects,0,0,0,0,0,0,14308,574.17
2024-10-01 11:00:00,/user,0,0,0,0,0,0,12574,350.88
2024-10-01 12:00:00,/data,66,34,85,73.215,1.398,16.129,18054,1078.83
2024-10-01 12:00:00,/scratch,0,0,0,0,0,0,20194,513.18
2024-10-01 12:00:00,/projects,74,49,117,45.208,1.799,11.456,14333,629.03
2024-10-01 12:00:00,/user,162,83,197,20.332,1.938,3.295,12653,372.57
2024-10-01 13:00:00,/data,0,0,0,0,0,0,18054,1078.83
2024-10-01 13:00:00,/scratch,151,55,91,49.921,1.112,4.978,20290,566.96
2024-10-01 13:00:00,/projects,94,42,97,46.933,2.092,9.357,14385,683.23
2024-10-01 13:00:00,/user,222,110,203,25.111,2.812,4.371,12765,399.24
2024-10-01 14:00:00,/data,143,71,138,183.748,3.74,28.655,18126,1287.49
