index,timestamp,directory,current_space_gb
0,27:01.6,/info,0.9701
1,27:01.6,/scratch,0.01924
2,27:01.6,/projects,0.64564
3,27:01.6,/customers,0.00557
4,27:28.5,/info,0.9701
5,27:28.5,/scratch,0.01954
6,27:28.5,/projects,0.64564
7,27:28.5,/customers,0.0852
8,30:04.9,/info,0.9701
9,30:04.9,/scratch,0.13194
10,30:04.9,/projects,0.64593
11,30:04.9,/customers,0.11875
12,40:04.5,/info,0.37971
13,40:04.5,/scratch,0.07338
14,40:04.5,/projects,0.04052
15,40:04.5,/customers,0.04376
16,50:04.0,/info,0.46045
17,50:04.0,/scratch,0.56849
18,50:04.0,/projects,0.01647
19,50:04.0,/customers,0.98132
20,00:12.2,/info,0.43559
21,00:12.2,/scratch,0.57636
22,00:12.2,/projects,0.04351
23,00:12.2,/customers,0.97681
24,10:04.3,/info,1.12467
25,10:04.3,/scratch,1.32626
26,10:04.3,/projects,0.01576
27,10:04.3,/customers,1.02905
28,20:05.4,/info,1.07566
29,20:05.4,/scratch,1.35917
30,20:05.4,/projects,0.01608
31,20:05.4,/customers,1.12916
32,30:05.8,/info,1.84224
33,30:05.8,/scratch,1.31126
34,30:05.8,/projects,0.01566
35,30:05.8,/customers,1.18976
36,40:04.4,/info,2.22995
37,40:04.4,/scratch,2.25956
38,40:04.4,/projects,0.11725
39,40:04.4,/customers,1.24935
40,50:08.8,/info,2.06386
41,50:08.8,/scratch,2.20426
42,50:08.8,/projects,0.78184
43,50:08.8,/customers,1.36064
44,00:04.1,/info,1.62082
45,00:04.1,/scratch,2.37282
46,00:04.1,/projects,0.81298
47,00:04.1,/customers,2.08556
48,10:04.3,/info,1.74999
49,10:04.3,/scratch,2.34862
50,10:04.3,/projects,0.80937
51,10:04.3,/customers,2.08981
52,20:04.0,/info,1.82733
53,20:04.0,/scratch,2.46201
54,20:04.0,/projects,0.90224
55,20:04.0,/customers,2.02272
56,30:05.0,/info,1.23815
57,30:05.0,/scratch,2.18524
58,30:05.0,/projects,0.80289
59,30:05.0,/customers,1.23331
60,40:07.4,/info,0.45185
61,40:07.4,/scratch,2.20196
62,40:07.4,/projects,0.77932
63,40:07.4,/customers,1.21921
64,50:09.3,/info,0.58003
65,50:09.3,/scratch,2.40123
66,50:09.3,/projects,0.77928
67,50:09.3,/customers,0.90301
68,00:04.3,/info,1.56588
69,00:04.3,/scratch,2.53758
70,00:04.3,/projects,0.79999
71,00:04.3,/customers,0.33962
72,10:06.2,/info,1.51169
73,10:06.2,/scratch,2.58407
74,10:06.2,/projects,0.88656
75,10:06.2,/customers,0.34072
76,20:04.1,/info,1.87078
77,20:04.1,/scratch,2.63097
78,20:04.1,/projects,1.498
79,20:04.1,/customers,0.42432
80,30:04.7,/info,1.87169
81,30:04.7,/scratch,2.71366
82,30:04.7,/projects,1.47696
83,30:04.7,/customers,0.49137
84,40:04.4,/info,1.04016
85,40:04.4,/scratch,2.85316
86,40:04.4,/projects,1.47773
87,40:04.4,/customers,1.30157
88,50:04.3,/info,2.31138
89,50:04.3,/scratch,2.83489
90,50:04.3,/projects,1.86955
91,50:04.3,/customers,1.28172
92,00:09.8,/info,2.31166
